accession,name,description,Study Disease/Focus,Study Design,Study Markerset,Parent study,Study Molecular Data Type,Study Content,Ancestry (computed),NIH Institute,Study Consent,Release Date,Embargo Release Date,Related Terms
"phs000420.v6.p3","NHLBI MESA SHARe","This substudy phs000420 MESA SHARe contains Affy 6.0 genotypes and Infinium HumanExome BeadChip data, produced as part of NHLBI's SNP Health Association Resource (SHARe) project. Summary level phenotypes for  the MESA Cohort study participants can be viewed at the top-level study page phs000209 MESA Cohort. Individual level phenotype data and molecular","Cardiovascular Diseases","Prospective Longitudinal Cohort","Not Provided","Multi-Ethnic Study of Atherosclerosis (MESA) Cohort (phs000209.v13.p3)","CNV Genotypes, SNP Genotypes (Array)","1 phenotype datasets, 4 variables, 2 molecular datasets, 8388 subjects, 17098 samples","European (2737), African (122), East Asian (773), African American (2648), Hispanic1 (457), Hispanic2 (1354), Other Asian or Pacific Islander (14), South Asian (2), Other (117)","NHLBI","HMB --- Health/medical/biomedical , HMB-NPU --- Health/medical/biomedical (npu)","2014-11-18","2015-11-18","Atherogenesis"
"phs000498.v3.p1","Jackson Heart Study Allelic Spectrum Project","This sub-study phs000498 JHS Allelic Spectrum Seq contains genotype derived from sequence data and selected phenotype of subjects available from the phs000498 study. Summary level phenotypes for the NHLBI  JHS Cohort study participants can be viewed at the top-level study page phs000286 JHS Cohort. Individual level phenotype data and molecular data for","Cardiovascular Diseases","Prospective Longitudinal Cohort","Not Provided","Jackson Heart Study (JHS) Cohort (phs000286.v5.p1)","SNP Genotypes (NGS), WXS","2 phenotype datasets, 5 variables, 1 molecular datasets,  SRA, 1983 subjects, 1983 samples","","NHLBI","HMB-IRB-NPU --- Health/medical/biomedical (irb, npu) , DS-FDO-IRB-NPU --- Disease-specific (focused disease only, irb, npu) , HMB-IRB --- Health/medical/biomedical (irb) , DS-FDO-IRB --- Disease-specific (focused disease only, irb)","2016-07-13","2017-07-13","Not Provided"
"phs000557.v4.p1","NHLBI ARIC Candidate Gene Association Resource (CARe)","This sub-study phs000557 ARIC_CARe contains genotype derived from sequence data and selected phenotype of subjects available from the phs000557 study. Summary level phenotypes for the NHLBI ARIC Cohort study  participants can be viewed at the top-level study page phs000280 ARIC Cohort. Individual level phenotype data and molecular data for all ARIC Cohort","Atherosclerosis","Case-Control","Not Provided","Atherosclerosis Risk in Communities (ARIC) Cohort (phs000280.v5.p1)","SNP Genotypes (Array)","2 phenotype datasets, 97 variables, 1 molecular datasets, 14502 subjects, 14560 samples","","NHLBI","HMB-IRB --- Health/medical/biomedical (irb) , DS-CVD-IRB --- Disease-specific (cardiovascular disease, irb)","2013-12-11","2017-09-22","Atherogenesis; Body System, Cardiovascular; Cardiovascular; Cardiovascular Body System; Cardiovascular Organ System; Cardiovascular System"
"phs000571.v5.p2","PCGC: Congenital Heart Disease Genetic Network Study","This substudy phs000571 PCGC contains whole exome sequences, targeted sequences, and SNP array data. Summary level phenotypes for the PCGC Cohort study participants can be viewed at the top-level  study page phs001194 PCGC Cohort. Individual level phenotype data and molecular data for all PCGC top-level study and substudies are available by","Heart Defects, Congenital","Prospective Longitudinal Cohort","Not Provided","National Heart, Lung, and Blood Institute (NHLBI) Bench to Bassinet Program: The Pediatric Cardiac Genetics Consortium (PCGC) Study (phs001194.v2.p2)","AMPLICON, SNP Genotypes (Array), RNA-Seq, WGS, WXS","2 phenotype datasets, 14 variables, 2 molecular datasets,  SRA, 9444 subjects, 11829 samples","European (1438), African (6), East Asian (22), African American (144), Hispanic1 (121), Hispanic2 (134), Other Asian or Pacific Islander (28), South Asian (70), Other (48)","NHLBI","HMB --- Health/medical/biomedical , DS-CHD --- Disease-specific (congenital heart disease)","2018-09-14","2017-11-09","Abnormalities, Heart; Abnormality of cardiac morphology; Abnormality of the heart; Abnormality, Heart; Cardiac abnormalities; Cardiac abnormality"
"phs000613.v1.p2","NHLBI CARDIA Candidate Gene Association Resource (CARe)","This sub-study phs000613 CARDIA_CARe contains genotype of subjects available from the phs000613 study. Summary level phenotypes for the NHLBI CARDIA Cohort study participants can be viewed at the top-level  study page phs000285 CARDIA_v3 Cohort. Individual level phenotype data and molecular data for all CARDIA Cohort top-level study and sub-study are","Cardiovascular Diseases","Prospective Longitudinal Cohort","Not Provided","Coronary Artery Risk Development in Young Adults (CARDIA) Study - Cohort (phs000285.v3.p2)","SNP Genotypes (Array)","1 phenotype datasets, 4 variables, 2 molecular datasets, 3299 subjects, 4754 samples","","NHLBI","HMB-IRB --- Health/medical/biomedical (irb) , HMB-IRB-NPU --- Health/medical/biomedical (irb, npu)","2013-08-22","2014-08-22","Atherogenesis; Caloric Intake; Energy intake; Arterial hypertension; BP - High blood pressure; BP+ - Hypertension"
"phs000651.v10.p11","Building on GWAS: the U.S. CHARGE consortium - Sequencing (CHARGE-S): FHS","This substudy phs000651 Framingham CHARGE-S contains whole genome, whole exome, and targeted sequence data, produced as part of NHLBI's CHARGE-S project. Summary level phenotypes for the Framingham Cohort study  participants can be viewed at the top-level study page phs000007 Framingham Cohort. Individual level phenotype data and molecular data for all","Cardiovascular Diseases","Prospective Longitudinal Cohort","Not Provided","Framingham Cohort (phs000007.v30.p11)","SNP Genotypes (NGS), SNP/CNV Genotypes (NGS), WGS, WXS","5 phenotype datasets, 40 variables, 7 molecular datasets,  SRA, 2532 subjects, 2532 samples","","NHLBI","HMB-IRB-MDS --- Health/medical/biomedical (irb, mds) , HMB-IRB-NPU-MDS --- Health/medical/biomedical (irb, npu, mds)","2018-10-12","2018-10-12","Atherogenesis; AF; AF - Atrial fibrillation; Atrial Fibrillations; Auricular Fibrillation; Auricular Fibrillations"
"phs000667.v3.p1","Building on GWAS for NHLBI-Diseases: The U.S. CHARGE Consortium -    Sequencing (CHARGE-S): CHS","Note: This substudy phs000667 CHARGE-S Cardiovascular Health Study contains harmonized phenotype data, whole genome, exome, targeted sequencing data and exome chip data of a subset of the CHS cohort  selected for NHLBI's CHARGE-S CONSORTIUM Project. Summary level phenotypes of the Cardiovascular Health Cohort study participants may be viewed at","Cardiovascular Diseases","Prospective Longitudinal Cohort","Not Provided","Cardiovascular Health Study (CHS) Cohort: an NHLBI-funded observational study of risk factors for cardiovascular disease in adults 65 years or older (phs000287.v6.p1)","SNP Genotypes (Array), SNP Genotypes (NGS), WGS, WXS","5 phenotype datasets, 40 variables, 3 molecular datasets,  SRA, 5114 subjects, 7743 samples","European (236), Hispanic2 (1)","NHLBI","HMB-IRB-MDS --- Disease-specific (cardiovascular disease, npu, mds) , HMB-IRB-NPU-MDS --- Disease-specific (cardiovascular disease, npu, mds) , DS-CVD-IRB-MDS --- Disease-specific (cardiovascular disease, npu, mds) , DS-CVD-IRB-NPU-MDS --- Disease-specific (cardiovascular disease, npu, mds)","2017-01-13","2018-01-13","Atherogenesis; AF; AF - Atrial fibrillation; Atrial Fibrillations; Auricular Fibrillation; Auricular Fibrillations"
"phs000668.v3.p1","Building on GWAS: the U.S. CHARGE consortium - Sequencing (CHARGE-S):    ARIC","This sub-study phs000668 CHARGE-S Atherosclerosis Risk in Communities (ARIC) contains whole genome, whole exome, and targeted sequencing data, and exome SNP array data, produced as part of NHLBI's CHARGE-S  project for subjects available from the phs000668 study. Summary level phenotypes for the NHLBI ARIC Cohort study participants can be viewed at the","Atherosclerosis","Case Set","Not Provided","Atherosclerosis Risk in Communities (ARIC) Cohort (phs000280.v5.p1)","SNP Genotypes (Array), SNP Genotypes (NGS), SNP/CNV Genotypes (NGS), WGS, WXS","6 phenotype datasets, 72 variables, 6 molecular datasets,  SRA, 14858 subjects, 14858 samples","European (1696), African (57), African American (1806), Hispanic1 (14), Hispanic2 (4), Other (3)","NHLBI","HMB-IRB --- Health/medical/biomedical (irb) , DS-CVD-IRB --- Disease-specific (cardiovascular disease, irb)","2013-12-11","2017-09-22","Atherogenesis; AF; AF - Atrial fibrillation; Atrial Fibrillations; Auricular Fibrillation; Auricular Fibrillations"
"phs000674.v3.p3","Resource for Genetic Epidemiology Research on Aging (GERA)","The Resource for Genetic Epidemiology Research on Aging (GERA) Cohort was created by a RC2 ""Grand Opportunity"" grant that was awarded to the Kaiser Permanente Research Program on Genes,  Environment, and Health (RPGEH) and the UCSF Institute of Human Genetics (AG036607; Schaefer/Risch, PIs). The RC2 project enabled a genome-wide SNP","Aging","Prospective Longitudinal Cohort","Not Provided","Research Program on Genes, Environment and Health (RPGEH) (phs000788.v2.p3)","SNP Genotypes (Array), SNP Genotypes (imputed)","4 phenotype datasets, 79 variables, 6 documents, 2 molecular datasets, 78419 subjects, 78419 samples","European (66620), African (42), East Asian (3751), African American (1913), Hispanic1 (390), Hispanic2 (3462), Other Asian or Pacific Islander (1330), South Asian (365), Other (546)","NIA","HMB-IRB-NPU --- Health/medical/biomedical (irb, npu)","2018-05-15","2018-05-15","Aging, Biological; Biological Aging; Anxiety State, Neurotic; Anxiety States, Neurotic; Neurotic Anxiety State; Neurotic Anxiety States"
"phs000704.v1.p1","CATHGEN: Identification of Novel Genetic and Metabolomic CV Phenotypes","The CATHGEN biorepository consists of biological samples collected on sequential consenting individuals undergoing cardiac catheterization at Duke University Medical Center between 2001 and 2010 inclusive. The Institutional Review Board  informed consent allowed for 50 mL of blood to be collected from fasting patients through the femoral arterial sheath during the catheterization","Coronary Disease","Cross-Sectional","Not Provided","CATHeterization GENetics (CATHGEN) (phs000703.v1.p1)","SNP Genotypes (Array), SNP Genotypes (Array)","2 phenotype datasets, 20 variables, 2 documents, 1 molecular datasets, 1327 subjects, 1327 samples","European (944), African (11), East Asian (2), African American (268), Hispanic1 (86), Hispanic2 (6), Other Asian or Pacific Islander (1), South Asian (6), Other (3)","NHLBI","DS-CVD-IRB --- Disease-specific (cardiovascular disease, irb)","2014-07-30","2014-07-30","CHD - Coronary heart disease; Coronary Diseases; Coronary Heart Disease; Coronary Heart Diseases; Disease, Coronary; Disease, Coronary Heart"
"phs000705.v1.p1","CATHGEN: Genetic Mediators of Metabolic Cardiovascular Disease Risk","The CATHGEN biorepository consists of biological samples collected on sequential consenting individuals undergoing cardiac catheterization at Duke University Medical Center between 2001 and 2010 inclusive. The Institutional Review Board  informed consent allowed for 50 mL of blood to be collected from fasting patients through the femoral arterial sheath during the catheterization","Coronary Disease","Cross-Sectional","Not Provided","CATHeterization GENetics (CATHGEN) (phs000703.v1.p1)","SNP Genotypes (Array), mRNA Expression (Array), SNP Genotypes (Array), mRNA Expression (Array)","2 phenotype datasets, 19 variables, 2 documents, 2 molecular datasets, 1977 subjects, 1979 samples","European (1391), African (18), East Asian (4), African American (398), Hispanic1 (94), Hispanic2 (11), Other Asian or Pacific Islander (3), South Asian (10), Other (2)","NHLBI","DS-CVD-IRB --- Disease-specific (cardiovascular disease, irb)","2014-07-30","2014-07-30","CHD - Coronary heart disease; Coronary Diseases; Coronary Heart Disease; Coronary Heart Diseases; Disease, Coronary; Disease, Coronary Heart"
"phs000860.v3.p1","MIchigan-CORnell-TEXas (MICORTEX)","This sub-study phs000860 MICORTEX contains genotype and selected phenotype of subjects available from the phs000860 study. Summary level phenotypes for the NHLBI ARIC Cohort study participants can be viewed  at the top-level study page phs000280 ARIC Cohort. Individual level phenotype data and molecular data for all ARIC Cohort top-level study and sub","Coronary Disease","Prospective Longitudinal Cohort","Not Provided","Atherosclerosis Risk in Communities (ARIC) Cohort (phs000280.v5.p1)","Legacy Genotypes","1 phenotype datasets, 4 variables, 1 molecular datasets, 7218 subjects, 7218 samples","","NHLBI","HMB-IRB --- Health/medical/biomedical (irb) , DS-CVD-IRB --- Disease-specific (cardiovascular disease, irb)","2013-12-11","2017-09-22","CHD - Coronary heart disease; Coronary Diseases; Coronary Heart Disease; Coronary Heart Diseases; Disease, Coronary; Disease, Coronary Heart"
"phs000880.v1.p1","Omics in Latinos (Ola) - Genetic Analysis of HCHS/SOL","This sub-study phs000880 HCHS SOL Hispanic Community Health Study contains genotype data and selected phenotype of subjects available from the phs000880. Summary level phenotypes for the NHLBI HCHS SOL  Cohort study participants can be viewed at the top-level study page phs000810 HCHS SOL Cohort. Individual level phenotype data and molecular data for","Cardiovascular Diseases","Prospective Longitudinal Cohort","Not Provided","Hispanic Community Health Study /Study of Latinos (HCHS/SOL) (phs000810.v1.p1)","SNP Genotypes (Array), SNP Genotypes (Array)","1 phenotype datasets, 5 variables, 1 molecular datasets, 12437 subjects, 13405 samples","European (1284), African (2), East Asian (1), African American (1092), Hispanic1 (2776), Hispanic2 (6284), Other Asian or Pacific Islander (11), Other (987)","NHLBI","HMB-NPU --- Health/medical/biomedical (npu) , HMB --- Health/medical/biomedical","2015-12-07","2016-12-17","Airway hyperreactivity; Asthma, Bronchial; Asthmas; Asthmatic; Bronchial Asthma; Reactive airway disease"
"phs001116.v1.p1","CHARGE-S: MGH AF Study","This substudy phs001116 CHARGE-S: Massachusetts General Hospital (MGH) AF Study includes targeted capture sequencing produced as part of NHLBI's CHARGE-S project. Summary level phenotypes for the Massachusetts General Hospital  (MGH) Atrial Fibrillation (AF) Study participants can be viewed at the top-level study page phs001001 MGH AF Study. Individual level phenotype data","Atrial Fibrillation","Case Set","Not Provided","Massachusetts General Hospital (MGH) Atrial Fibrillation Study (phs001001.v1.p1)","SNP/CNV Genotypes (NGS), Targeted-Capture, SNP/CNV Genotypes (NGS), Targeted-Capture","1 phenotype datasets, 4 variables, 1 molecular datasets, 200 subjects, 200 samples","","NHLBI","HMB-IRB --- Health/medical/biomedical (irb) , DS-AF-IRB-RD --- Disease-specific (atrial fibrillation, irb, rd)","2018-03-06","2018-03-06","AF; AF - Atrial fibrillation; Atrial Fibrillations; Auricular Fibrillation; Auricular Fibrillations; Fibrillation, Atrial"
"phs001117.v1.p1","MGH AF Study: Exome Sequencing in Early-Onset Atrial Fibrillation","This substudy phs001117 Massachusetts General Hospital (MGH) AF Study: Exome Sequencing Study includes exome sequencing for subjects with early-onset atrial fibrillation. Summary level phenotypes for the Massachusetts General Hospital  (MGH) Atrial Fibrillation (AF) Study participants can be viewed at the top-level study page phs001001 MGH AF Study. Individual level phenotype data","Atrial Fibrillation","Case Set","Not Provided","Massachusetts General Hospital (MGH) Atrial Fibrillation Study (phs001001.v1.p1)","SNP/CNV Genotypes (NGS), WXS, SNP/CNV Genotypes (NGS), WXS","1 phenotype datasets, 4 variables, 1 molecular datasets, 287 subjects, 287 samples","","NHLBI","HMB-IRB --- Health/medical/biomedical (irb) , DS-AF-IRB-RD --- Disease-specific (atrial fibrillation, irb, rd)","2018-03-06","2018-03-06","AF; AF - Atrial fibrillation; Atrial Fibrillations; Auricular Fibrillation; Auricular Fibrillations; Fibrillation, Atrial"
"phs001118.v1.p1","MGH AF Study: Resequencing Five GWAS Loci for Atrial Fibrillation","This substudy phs001118 Massachusetts General Hospital (MGH) AF Study: Resequencing includes deep coverage targeted re-sequencing and variant identification for 5 GWAS loci in the MGH AF sample collection. Summary  level phenotypes for the Massachusetts General Hospital (MGH) Atrial Fibrillation (AF) Study participants can be viewed at the top-level study page","Atrial Fibrillation","Case Set","Not Provided","Massachusetts General Hospital (MGH) Atrial Fibrillation Study (phs001001.v1.p1)","SNP/CNV Genotypes (NGS), Targeted-Capture, SNP/CNV Genotypes (NGS), Targeted-Capture","1 phenotype datasets, 4 variables, 1 molecular datasets, 462 subjects, 462 samples","","NHLBI","HMB-IRB --- Health/medical/biomedical (irb) , DS-AF-IRB-RD --- Disease-specific (atrial fibrillation, irb, rd)","2018-03-06","2018-03-06","AF; AF - Atrial fibrillation; Atrial Fibrillations; Auricular Fibrillation; Auricular Fibrillations; Fibrillation, Atrial"
"phs001334.v1.p3","Metabolomics of Coronary Heart Disease (CHD) in the WHI","The primary goal of this substudy phs001334 Metabolomics of CHD in WHI study was to analyze the relationship between metabolite profiles and incident coronary heart disease (CHD) in women  using a nested case-control design. Summary level phenotypes for the WHI Cohort study participants can be viewed at the top-level study page","Coronary Heart Disease","Case-Control","Not Provided","Women&#39;s Health Initiative Clinical Trial and Observational Study (phs000200.v11.p3)","Not Provided","3 phenotype datasets, 746 variables, 1 documents, 2151 subjects","","NHLBI","HMB-IRB --- Health/medical/biomedical (irb) , HMB-IRB-NPU --- Health/medical/biomedical (irb, npu)","2017-06-23","2017-11-02","CHD - Coronary heart disease; Coronary Disease; Coronary Diseases; Coronary Heart Diseases; Disease, Coronary; Disease, Coronary Heart"
"phs001335.v1.p3","NHLBI's BA23 in WHI","This substudy phs001335 Integrative genomics and risk of CHD and related phenotypes in WHI study was to analyze epigenetic markers in blood and to associate these markers with phenotypes  related to coronary heart disease. Summary level phenotypes for the WHI Cohort study participants can be viewed at the top-level study page phs000200","Coronary Artery Disease","Case-Control","Not Provided","Women&#39;s Health Initiative Clinical Trial and Observational Study (phs000200.v11.p3)","Methylation (CpG), miRNA Expression (Array)","2 phenotype datasets, 23 variables, 2 documents, 1 molecular datasets, 2129 subjects, 4256 samples","","NHLBI","HMB-IRB --- Health/medical/biomedical (irb) , HMB-IRB-NPU --- Health/medical/biomedical (irb, npu)","2017-06-23","2017-11-02","Aging, Biological; Biological Aging; Blood Sugar; Glucose, Blood; Sugar, Blood; DAP - Diastolic arterial pressure"
"phs001401.v2.p1","Genetic Epidemiology Network of Arteriopathy (GENOA): GWAS Studies","This substudy phs001401 GENOA GWAS Studies, contains genome-wide genetic variants on a subset of participants in the GENOA Cohorts. A total of 1385 European American and 1263 African American  participants from GENOA were genotyped on the Affymetrix Genome-Wide Human SNP Array 6.0 array using the protocol outlined by Affymetrix (Affymetrix","Hypertension","Prospective Longitudinal Cohort","Not Provided","Genetic Epidemiology Network of Arteriopathy (GENOA) (phs001238.v2.p1)","SNP Genotypes (Array), SNP Genotypes (Array)","1 phenotype datasets, 4 variables, 1 molecular datasets, 3039 subjects, 3039 samples","European (1507), African (48), African American (1478), Hispanic1 (4), Other (2)","NHLBI","DS-ASC-RF-NPU --- Disease-specific (arteriosclerosis and its risk factors, npu)","2018-08-08","2017-09-08","Aging, Biological; Biological Aging; Arterial Pressure, Mean; Arterial Pressures, Mean; MAP - Mean arterial pressure; MBP - Mean blood pressure"

